antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'chocolate', 'milk'})",frozenset({'mineral water'}),0.24794238683127573,0.37037037037037035,0.10802469135802469,0.4356846473029045,1.1763485477178424,1.0,0.01619417771681146,1.1157407407407407,0.1993355481727575,0.2116935483870968,0.10373443983402485,0.3636756569847856
"frozenset({'chocolate', 'mineral water'})",frozenset({'milk'}),0.10802469135802469,1.0,0.10802469135802469,1.0,1.0,1.0,0.0,inf,0.0,0.10802469135802469,0.0,0.5540123456790124
"frozenset({'mineral water', 'milk'})",frozenset({'chocolate'}),0.37037037037037035,0.24794238683127573,0.10802469135802469,0.2916666666666667,1.1763485477178424,1.0,0.01619417771681146,1.0617283950617284,0.23809523809523808,0.2116935483870968,0.05813953488372095,0.3636756569847856
frozenset({'chocolate'}),"frozenset({'mineral water', 'milk'})",0.24794238683127573,0.37037037037037035,0.10802469135802469,0.4356846473029045,1.1763485477178424,1.0,0.01619417771681146,1.1157407407407407,0.1993355481727575,0.2116935483870968,0.10373443983402485,0.3636756569847856
frozenset({'milk'}),"frozenset({'chocolate', 'mineral water'})",1.0,0.10802469135802469,0.10802469135802469,0.10802469135802469,1.0,1.0,0.0,1.0,0.0,0.10802469135802469,0.0,0.5540123456790124
frozenset({'mineral water'}),"frozenset({'chocolate', 'milk'})",0.37037037037037035,0.24794238683127573,0.10802469135802469,0.2916666666666667,1.1763485477178424,1.0,0.01619417771681146,1.0617283950617284,0.23809523809523808,0.2116935483870968,0.05813953488372095,0.3636756569847856
"frozenset({'mineral water', 'eggs'})",frozenset({'milk'}),0.10082304526748971,1.0,0.10082304526748971,1.0,1.0,1.0,0.0,inf,0.0,0.10082304526748972,0.0,0.5504115226337448
"frozenset({'milk', 'eggs'})",frozenset({'mineral water'}),0.23765432098765432,0.37037037037037035,0.10082304526748971,0.42424242424242425,1.1454545454545455,1.0,0.012802926383173305,1.0935672514619885,0.16657027183342982,0.19878296146044624,0.08556149732620326,0.3482323232323232
"frozenset({'milk', 'mineral water'})",frozenset({'eggs'}),0.37037037037037035,0.23765432098765432,0.10082304526748971,0.27222222222222225,1.1454545454545455,1.0,0.012802926383173305,1.0474978795589485,0.2016806722689077,0.19878296146044624,0.04534412955465591,0.3482323232323232
frozenset({'eggs'}),"frozenset({'milk', 'mineral water'})",0.23765432098765432,0.37037037037037035,0.10082304526748971,0.42424242424242425,1.1454545454545455,1.0,0.012802926383173305,1.0935672514619885,0.16657027183342982,0.19878296146044624,0.08556149732620326,0.3482323232323232
frozenset({'mineral water'}),"frozenset({'milk', 'eggs'})",0.37037037037037035,0.23765432098765432,0.10082304526748971,0.27222222222222225,1.1454545454545455,1.0,0.012802926383173305,1.0474978795589485,0.2016806722689077,0.19878296146044624,0.04534412955465591,0.3482323232323232
frozenset({'milk'}),"frozenset({'mineral water', 'eggs'})",1.0,0.10082304526748971,0.10082304526748971,0.10082304526748971,1.0,1.0,0.0,1.0,0.0,0.10082304526748972,0.0,0.5504115226337448
"frozenset({'mineral water', 'milk'})",frozenset({'spaghetti'}),0.37037037037037035,0.2736625514403292,0.12139917695473251,0.3277777777777778,1.1977443609022558,1.0,0.02004267642127726,1.0805019895928984,0.2622133599202394,0.23228346456692917,0.07450424929178474,0.3856934001670844
"frozenset({'milk', 'spaghetti'})",frozenset({'mineral water'}),0.2736625514403292,0.37037037037037035,0.12139917695473251,0.443609022556391,1.1977443609022558,1.0,0.02004267642127726,1.1316316316316317,0.2273010995342586,0.23228346456692917,0.11632021229544458,0.3856934001670844
"frozenset({'mineral water', 'spaghetti'})",frozenset({'milk'}),0.12139917695473251,1.0,0.12139917695473251,1.0,1.0,1.0,0.0,inf,0.0,0.12139917695473251,0.0,0.5606995884773662
frozenset({'milk'}),"frozenset({'mineral water', 'spaghetti'})",1.0,0.12139917695473251,0.12139917695473251,0.12139917695473251,1.0,1.0,0.0,1.0,0.0,0.12139917695473251,0.0,0.5606995884773662
frozenset({'mineral water'}),"frozenset({'milk', 'spaghetti'})",0.37037037037037035,0.2736625514403292,0.12139917695473251,0.3277777777777778,1.1977443609022558,1.0,0.02004267642127726,1.0805019895928984,0.2622133599202394,0.23228346456692917,0.07450424929178474,0.3856934001670844
frozenset({'spaghetti'}),"frozenset({'mineral water', 'milk'})",0.2736625514403292,0.37037037037037035,0.12139917695473251,0.443609022556391,1.1977443609022558,1.0,0.02004267642127726,1.1316316316316317,0.2273010995342586,0.23228346456692917,0.11632021229544458,0.3856934001670844
